"station_id","dt","tasmin_f","tasmax_f"
"77",2023-01-01,39.5,61.7
"77",2023-01-02,37.7,50.5
"77",2023-01-03,41.4,49.6
"77",2023-01-04,41.1,57.6
"77",2023-01-05,42.9,57
"77",2023-01-06,45,57.2
"77",2023-01-07,46.3,53.2
"77",2023-01-08,45.8,59.2
"77",2023-01-09,41.7,60.3
"77",2023-01-10,44.2,54.5
"77",2023-01-11,46.4,51.7
"77",2023-01-12,47.6,63.2
"77",2023-01-13,50.3,59.1
"77",2023-01-14,41.2,57.1
"77",2023-01-15,40,53
"77",2023-01-16,36.6,55.2
"77",2023-01-17,32.6,58.9
"77",2023-01-18,32.6,51.9
"77",2023-01-19,33.2,55.7
"77",2023-01-20,31.5,56.7
"77",2023-01-21,28.3,59.6
"77",2023-01-22,32.4,59.3
"77",2023-01-23,42.6,65.8
"77",2023-01-24,37.6,66.7
"77",2023-01-25,34.1,72.3
"77",2023-01-26,40,73
"77",2023-01-27,34,61.8
"77",2023-01-28,29.5,58.2
"77",2023-01-29,34.1,49.5
"77",2023-01-30,36.1,56.9
"77",2023-01-31,32.6,59.4
"77",2023-02-01,29.7,59.2
"77",2023-02-02,32.3,58.7
"77",2023-02-03,42,54.6
"77",2023-02-04,44.5,57.1
"77",2023-02-05,37.5,54.5
"77",2023-02-06,31.9,65.1
"77",2023-02-07,32.8,62
"77",2023-02-08,33.2,66.2
"77",2023-02-09,34.2,66.6
"77",2023-02-10,31.9,60.4
"77",2023-02-11,37.1,60.1
"77",2023-02-12,36,73.6
"77",2023-02-13,33.7,68.2
"77",2023-02-14,31,53.7
"77",2023-02-15,32.1,62.3
"77",2023-02-16,28.7,55.1
"77",2023-02-17,33.9,64.1
"77",2023-02-18,28.8,64.7
"77",2023-02-19,31.1,67.5
"77",2023-02-20,35,69.7
"77",2023-02-21,36.3,64.4
"77",2023-02-22,30.8,52.5
"77",2023-02-23,26.2,48.6
"77",2023-02-24,33.1,49
"77",2023-02-25,36.4,48.7
"77",2023-02-26,34.8,49
"77",2023-02-27,31,49.3
"77",2023-02-28,33.5,53
